Language,What roles do you play in your project? (mark all that apply),"Among the roles you play, which one do you consider to be your main role?",How long have you been working on this project? ,Which country did you spend the most time in during your participation in this project?,How many commits did you contribute to the project? ,What is your sex?,What is your educational background (highest degree obtained)?,What is your experience (in years) working in software development?,Were you familiar with the presented description of Technical Debt before this questionnaire?,For what reasons did you commonly modify code in the project? (mark all that apply),How often do you introduce technical debt?,For what reasons have you introduced technical debt? (mark all that apply),How often do you repay your own technical debt?,For what reasons do you repay your own technical debt?,Do you recall **noticing** TD? Please respond per TD type [Code Debt],Do you recall **noticing** TD? Please respond per TD type [Defect Debt],Do you recall **noticing** TD? Please respond per TD type [Design Debt],Do you recall **noticing** TD? Please respond per TD type [Documentation Debt],Do you recall **noticing** TD? Please respond per TD type [Test Debt],Do you recall **introducing** TD? Please respond per TD type [Code Debt],Do you recall **introducing** TD? Please respond per TD type [Defect Debt],Do you recall **introducing** TD? Please respond per TD type [Design Debt],Do you recall **introducing** TD? Please respond per TD type [Documentation Debt],Do you recall **introducing** TD? Please respond per TD type [Test Debt],Do you recall **repaying** TD? Please respond per TD type [Code Debt],Do you recall **repaying** TD? Please respond per TD type [Defect Debt],Do you recall **repaying** TD? Please respond per TD type [Design Debt],Do you recall **repaying** TD? Please respond per TD type [Documentation Debt],Do you recall **repaying** TD? Please respond per TD type [Test Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Code Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Defect Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Design Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Documentation Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Test Debt]
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,USA,Less than 10 commits,Male,PhD,10,Yes,New feature,Never,I am not aware that I introduce technical debt,On a regular basis,Improved maintainability,Probably yes,Probably not,I am not sure,Probably not,I am not sure,Probably not,Probably not,Definetely not,Probably not,Probably not,Definetely not,Probably yes,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,France,10-30 commits,Male,MSc,3,Yes,Bug fixing;New feature;Refactoring,Never,I am not aware that I introduce technical debt,Never,I am highly against technical debt. This is nonsense.,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Python,Tester (incl. Quality Assurance),Tester (incl. Quality Assurance),Less than 1 year,Indonesia,10-30 commits,Male,BSc,0,No,Bug fixing,Almost never,Lack of experience,On a regular basis,bugs,Definetely yes,Probably yes,Probably yes,Definetely not,Probably not,Probably not,Probably not,Definetely not,Definetely not,Probably not,Probably not,Probably not,Definetely not,Definetely not,Definetely not,Probably not,Probably not,Definetely not,Definetely not,Definetely not
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,,Less than 10 commits,I prefer not to answer,PhD,5,Somewhat,New feature,On a regular basis,Inappropriate planning;Lack of well-defined process,"Sometimes, when it is absolutely essential",NA,I am not sure,I am not sure,I am not sure,Probably yes,Probably yes,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Java,Developer (incl. Software Engineer);Software Architect;Project Manager,Developer (incl. Software Engineer),More than 5 years,,200-500 commits,Male,BSc,8,Yes,Bug fixing;New feature,I don't know,Team overload;I am not aware that I introduce technical debt;It's usually that I don't have the bandwidth/time to fix already existing technical debt and instead pile on to it.,"Sometimes, when it is absolutely essential",Always based on momentary ROI. Do I have the time right now to fix it? Will it bite me/us in the near future? Will this project live long enough for the technical debt to make an impact for us?,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably not,Probably not,Probably yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Probably not,Definetely yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),More than 5 years,Germany,more than 500 commits,Male,BSc,20,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Team overload;Urgent issue that needs to be fixed quickly,On a regular basis,To reduce the cost of maintaining the system.,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely not,Probably yes,Probably yes,Probably yes,Definetely yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Probably yes,I am not sure,Probably yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,Sweden,Less than 10 commits,Male,High School,2,Yes,New feature;Refactoring,"Sometimes, when it is absolutely essential",Outdated or incomplete documentation;Lack of commitment to the project,On a regular basis,Primarily to reduce maintenance.,Probably yes,I am not sure,Probably yes,Definetely yes,I am not sure,Probably not,Probably not,Probably not,Probably not,Probably not,Probably yes,I am not sure,I am not sure,Probably yes,I am not sure,Probably not,Probably not,Probably not,Probably not,Probably not
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,United States,Less than 10 commits,Male,BSc,6 years,Yes,Open [starter] issue in github,I don't know,Deadline;Inappropriate planning;Outdated or incomplete documentation;Not fully understanding how the project will evolve over time,On a regular basis,Habit. Making code better for others.,Probably not,Probably not,Probably not,Probably not,Probably not,I am not sure,Probably not,I am not sure,Probably not,Probably not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Python,Contributor,Contributor,Less than 1 year,Germany,Less than 10 commits,Male,MSc,6,Yes,Updated documentation,Never,I am not aware that I introduce technical debt,Never,"As I only did a single contribution to flask, this is not possible to answer.
For my own projects, I often introduce technical debt but also try to repay it. Mostly it's due to inapproriate planning, lack of well-defined process and non existent project management (I'm a researcher); for Open Source contributions, I try to avoid TD as much as possible and focus on repaying technical debt where possible.",Definetely yes,Probably yes,I am not sure,Probably yes,Probably not,Probably yes,I am not sure,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Python,Developer (incl. Software Engineer);Team Lead;Software Architect,Team Lead,3-5 years,Brazil,more than 500 commits,Male,high school,15,Yes,Bug fixing;New feature;Refactoring;naming,On a regular basis,Lack of qualified professionals that can manage techinical debt;Team overload;ongoing major refactoring,Always,ongoing major refactoring,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Probably not,Definetely not,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Probably yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,Slovakia,10-30 commits,Male,MSc,6,Yes,Bug fixing;New feature,Almost never,I am not aware that I introduce technical debt,On a regular basis,maintainability,Probably yes,I am not sure,Probably yes,Probably yes,Probably yes,Probably not,Probably not,Probably not,Probably not,Probably not,I am not sure,I am not sure,Probably not,Probably yes,I am not sure,Probably not,Probably yes,I am not sure,I am not sure,Probably yes
Java,Developer (incl. Software Engineer);Team Lead,Developer (incl. Software Engineer),1-2 years,US,50-100 commits,Male,MSc,3,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Not effective project management;Outdated or incomplete documentation;Insufficient Communication with Business people,"Sometimes, when it is absolutely essential",Committing to secure design and architecture while continuously learning.  ,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably not,Probably yes,Definetely not,Probably yes,Definetely yes,Probably not,Probably yes,Definetely yes,Probably yes,Definetely yes,Probably not,Probably yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,,Less than 10 commits,I prefer not to answer,MSc,18,Yes,Bug fixing;New feature;Refactoring;docs,"Sometimes, when it is absolutely essential",Lack of experience;I am not aware that I introduce technical debt,On a regular basis,support becomes easier,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Python,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);System Administrator,System Administrator,1-2 years,Netherlands,Less than 10 commits,Male,BSc,20+,Yes,Bug fixing;New feature,Almost never,Deadline;Lack of well-defined process;Team overload,"Sometimes, when it is absolutely essential",EOL of developing toolchains (that forces migration to new major versions).,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably not,Probably not,I am not sure,Probably yes,I am not sure,Probably yes,Probably yes,Probably not,Probably not,Probably not,Probably yes,Probably yes,I am not sure,I am not sure,I am not sure
Python,Developer (incl. Software Engineer),Software Architect,Less than 1 year,India,Less than 10 commits,Male,Bachelor of engineering,5,Yes,"Bug fixing, Refactoring","Sometimes, when it is absolutely essential",Deadline,On a regular basis,It should not affect others requirements,Definetely not,Definetely yes,Definetely not,Definetely not,Definetely yes,Definetely not,Definetely not,Definetely not,Probably not,Probably not,Probably yes,Probably not,I am not sure,I am not sure,I am not sure,I am not sure,Definetely not,Probably not,Probably not,Probably not
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,UAA,Less than 10 commits,Male,PhD,15,Yes,Bug fixing,"Sometimes, when it is absolutely essential",Deadline;Team overload,On a regular basis,"I feel ownership over the code. Also, do unto others as you would have done to you. Better to get rid of it before it bites you.",Probably yes,Definetely yes,Probably not,Probably not,I am not sure,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Probably yes,Definetely yes,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,Spain,100-200 commits,Male,Still a student,0,Somewhat,Bug fixing;New feature;Refactoring,I don't know,Deadline;Inappropriate planning;Non-adoption of good practice;Not effective project management;Lack of experience;Lack of commitment to the project,"Sometimes, when it is absolutely essential",When a new feature comes along that makes the need for refactoring apparent,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes,I am not sure,Probably not,Probably yes,Probably yes,Definetely yes,I am not sure,Definetely yes,Probably yes,Probably yes,Probably not,Probably yes,Definetely yes,Definetely yes,Definetely yes,I am not sure
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,India,Less than 10 commits,Male,MSc,2.5,Yes,Bug fixing,Almost never,I am not aware that I introduce technical debt,Almost never,Not applicable,Probably not,Probably not,Probably yes,Probably yes,I am not sure,Probably not,Definetely not,Definetely not,Definetely not,Definetely not,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Python,Developer (incl. Software Engineer);Tester (incl. Quality Assurance),Developer (incl. Software Engineer),1-2 years,,10-30 commits,Male,,3,Yes,New feature,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of experience,"Sometimes, when it is absolutely essential",when it hinders further development,Probably yes,Probably not,Probably yes,Definetely yes,Definetely yes,Probably yes,Probably not,Probably yes,Definetely yes,Definetely yes,Definetely yes,Probably not,Probably yes,Probably not,Definetely not,Definetely yes,Probably not,Probably yes,Probably not,Definetely not
Python,Developer (incl. Software Engineer);Team Lead;Software Architect,Software Architect,1-2 years,Usa,30-50 commits,Male,High schoo diploma,8,Somewhat,Bug fixing;New feature,Always,All code is technical debt. You do everything you can to get features out in a timely manner while balancing code quality but patterns and standards change as the industry moves. I might disagree that technical debt is introduced on purpose. It's always introduced. ,On a regular basis,Always make code better when you right in it.,Probably not,Probably not,Probably yes,Definetely yes,Definetely yes,Probably yes,Probably not,Probably not,Probably yes,Probably yes,Definetely yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes
Python,Developer (incl. Software Engineer);Software Architect,Developer (incl. Software Engineer),1-2 years,USA,200-500 commits,Male,PhD,10,Yes,Bug fixing;Refactoring,"Sometimes, when it is absolutely essential",Non-adoption of good practice;Outdated or incomplete documentation,On a regular basis,To help others develop the project,Definetely yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Definetely yes,Probably yes,I am not sure,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,I am not sure,Definetely yes,Definetely yes,Definetely yes,I am not sure,I am not sure
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,United States,Less than 10 commits,Male,BSc,7,Yes,Bug fixing,Never,I am not aware that I introduce technical debt,Never,N/A (have not repaid technical debt created by me on this project),Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely yes,Definetely not,Definetely not,Definetely yes,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,United States of America,Less than 10 commits,I prefer not to answer,,11,Yes,Documentation of library functionality,Never,N/A. Technical debt is not acceptable.,Always,It'll bite me in the ass later. I love future me. Why would I want to bite future me's ass?,Definetely yes,Probably not,Probably yes,Probably yes,Probably not,Definetely not,Definetely not,Definetely not,Probably not,Definetely not,Definetely not,Definetely not,Definetely not,Probably not,Definetely not,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,Poland,Less than 10 commits,Male,MSc,6.5,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Not effective project management;Team overload,On a regular basis,"Well, it's essential to project stabilization, often debt shows itself after sometime and it's also moment to repay it.",Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely not,Probably not,I am not sure,Probably not,Definetely yes,Definetely yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),3-5 years,UK,Less than 10 commits,Male,PhD,14,Yes,Bug fixing;New feature,Almost never,I am not aware that I introduce technical debt,I don't know,"(Project is open source, and I've no time constraints at all - hence the lack of tech debt utilisation)",I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure
Python,Developer (incl. Software Engineer);Tester (incl. Quality Assurance),Developer (incl. Software Engineer),More than 5 years,,200-500 commits,I prefer not to answer,,20,Yes,Bug fixing;New feature,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of well-defined process;Outdated or incomplete documentation;Team overload,On a regular basis,"I get annoyed with the dept.
I have issues reading the code.
The code broke and adding one condition is one condition too many.",Probably yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Python,Developer (incl. Software Engineer);Software Architect;SRE,SRE,3-5 years,Germany,200-500 commits,Male,MSc,25,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Lack of well-defined process;Lack of experience,On a regular basis,"Maintainability, code cleanliness, code comprehension, adhere to style guides and best practices",Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Probably yes,I am not sure,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Definetely yes,Probably yes,Probably yes,Probably yes,Probably not
Python,Developer (incl. Software Engineer);Team Lead;Software Architect,Software Architect,3-5 years,USA,more than 500 commits,Male,BSc,15,Yes,Bug fixing;New feature;Refactoring,Almost never,Not effective project management;Lack of experience,Always,Posterity,Definetely yes,Probably yes,Definetely yes,Probably yes,Probably not,Probably yes,Definetely not,Probably not,Probably yes,Definetely not,Probably yes,Definetely not,Definetely not,Probably yes,Definetely not,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely not
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),More than 5 years,United States,50-100 commits,Male,BSc,10,Yes,Bug fixing;New feature,Almost never,Deadline;Lack of experience,On a regular basis,Wanting to be a good citizen,Probably yes,I am not sure,I am not sure,Definetely yes,Definetely yes,Probably not,Probably not,Probably not,Probably not,Probably not,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,USA,10-30 commits,Male,PhD,12,Yes,"Bug fixing;Documentation, testing",Almost never,Deadline;Inappropriate planning;Outdated or incomplete documentation,On a regular basis,Reduce unhappiness of future self,Definetely not,Probably not,Probably not,Probably not,Definetely not,Definetely not,Definetely not,Definetely not,Probably not,Probably not,Probably not,Probably not,Probably not,Definetely yes,Definetely yes,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Python,Developer (incl. Software Engineer);Master student (2020/03 Scheduled to graduate),Developer (incl. Software Engineer),Less than 1 year,Japan,10-30 commits,Male,MSc,2,Somewhat,Bug fixing;Refactoring,Almost never,Deadline;I am not aware that I introduce technical debt,Almost never,Because I need to tweak the technical debt when I add features.,Probably yes,Probably not,I am not sure,Definetely yes,Probably yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably not,Definetely yes,Probably yes,Definetely not,Probably yes,Probably yes,Definetely not,Definetely not
Python,Developer (incl. Software Engineer);Software Architect;Product Owner,Developer (incl. Software Engineer),1-2 years,India,50-100 commits,Male,MSc,4,Yes,Bug fixing;New feature,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Not effective project management;Team overload,Always,Because I add a reminder to repay it once I introduce it ,Definetely yes,Probably yes,Probably yes,Definetely yes,I am not sure,Probably not,I am not sure,Probably yes,Definetely not,Definetely not,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,United States,Less than 10 commits,Male,MSc,4,Somewhat,Bug fixing;New feature,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning,On a regular basis,To make code more readable.,Probably not,Probably yes,Probably yes,I am not sure,I am not sure,Probably not,Probably not,Probably not,Probably yes,Probably not,Definetely yes,Probably yes,Probably yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,India,100-200 commits,Male,BSc,1,Yes,Bug fixing;New feature;Refactoring,Almost never,Inappropriate planning;Lack of well-defined process;Non-adoption of good practice;Not effective project management;Lack of qualified professionals that can manage techinical debt;Lack of experience;Outdated or incomplete documentation;Lack of commitment to the project,On a regular basis,"Refactoring is always fun. Architecture is an always changing concept. Building abstractions as you go on helps reduce technical debt over time. As a professional, I think it comes under our fundamental duty to make sure you deliver best possible code while being pragmatic.",I am not sure,I am not sure,I am not sure,I am not sure,Definetely yes,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely yes,Definetely not,Definetely not,I am not sure,Definetely not,Definetely not
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,USA,Less than 10 commits,Male,MSc,17,Yes,Bug fixing,Almost never,Lack of experience;I am not aware that I introduce technical debt,Never,N/A,Definetely not,Definetely yes,Probably yes,Probably yes,Probably not,I am not sure,Definetely not,Probably not,Probably not,Definetely not,Probably not,Probably not,Probably yes,Probably not,Probably not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Python,,Developer (incl. Software Engineer),1-2 years,,10-30 commits,Male,MSc,30,No,Bug fixing,Never,I am not aware that I introduce technical debt,Never,I didn't repay.,Probably yes,Definetely yes,Probably yes,Definetely yes,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely yes,Definetely not,Definetely yes,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Python,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);SRE,Developer (incl. Software Engineer),Less than 1 year,United States,50-100 commits,Male,MSc,3,Yes,Refactoring;CI,"Sometimes, when it is absolutely essential",Deadline,"Sometimes, when it is absolutely essential","After I?€?ve worked on certain parts of the code to a certain degree, I just became ?€?the person?€? for that portion of code. It kind of became my responsibility.",Definetely yes,Probably yes,Definetely yes,Definetely yes,Probably yes,Probably not,Definetely not,Definetely yes,Probably yes,Probably yes,Probably yes,Definetely not,Probably yes,Definetely not,Probably yes,Probably not,Definetely not,Definetely yes,Definetely not,Definetely not
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),3-5 years,USA,30-50 commits,Male,PhD,45,No,Bug fixing;New feature;Refactoring,Never,I am not aware that I introduce technical debt,I don't know,"Never create it, so no reason to repay it",Probably not,Definetely not,Probably yes,Probably yes,Probably not,Definetely not,Probably not,Definetely not,Probably not,Definetely not,Definetely not,Probably yes,Definetely not,Probably yes,Definetely not,Definetely not,Probably yes,Definetely not,Probably yes,Definetely not
Java,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);Software Architect,Developer (incl. Software Engineer),More than 5 years,Germany,more than 500 commits,Male,MSc,10,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of well-defined process;Lack of qualified professionals that can manage techinical debt;Lack of experience;Team overload,"Sometimes, when it is absolutely essential",software quality,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Definetely yes,Probably yes,I am not sure,Probably yes,Probably yes,Definetely yes,I am not sure,Probably yes,Probably yes,Probably yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes
Java,Developer (incl. Software Engineer);Software Architect,Developer (incl. Software Engineer),More than 5 years,United States of America,more than 500 commits,Male,BSc,15,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential","Lack of experience;Backwards compatibility, mostly; unproven feature (may pay back debt by rolling back the change)",On a regular basis,Compatibility guidelines permit deprecation/removal; ,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),3-5 years,France,Less than 10 commits,Male,MSc,10,Yes,Bug fixing,On a regular basis,Non-adoption of good practice;Adding new lines of code is adding technical debt,On a regular basis,Being responsible,Definetely yes,Definetely yes,Definetely yes,Probably not,Probably not,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably not,Probably not,Definetely yes,Definetely yes,Definetely yes,Probably yes,Probably yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),More than 5 years,Netherlands,more than 500 commits,I prefer not to answer,BSc,15,Somewhat,Bug fixing;New feature;Refactoring,I don't know,Deadline;I am not aware that I introduce technical debt,On a regular basis,"It is part of my daily job. If we don't address technical debt, the project becomes unmaintainable.",Definetely yes,Definetely yes,I am not sure,I am not sure,Definetely yes,Probably yes,Definetely yes,I am not sure,I am not sure,Probably yes,Definetely yes,Definetely yes,I am not sure,I am not sure,Definetely yes,Probably yes,Probably yes,I am not sure,I am not sure,Probably yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,,100-200 commits,Male,BSc,16,Yes,Bug fixing;New feature;Refactoring,On a regular basis,"Deadline;Outdated or incomplete documentation;Team overload;Sometimes increasing tech debt is desirable (cost of ""doing it right"" is higher than the cost of the debt)",On a regular basis,To make the code easier to work with for everyone.,Definetely yes,Probably yes,Definetely yes,Definetely yes,I am not sure,Definetely yes,Probably not,I am not sure,Probably yes,Probably not,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes
Java,Developer (incl. Software Engineer);Software Architect,Developer (incl. Software Engineer),3-5 years,Taiwan,more than 500 commits,Male,BSc,7,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Team overload,"Sometimes, when it is absolutely essential",I am used to doing refactor for repaying debt when I come up with a better architecture and have enough time for implementing it.,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes
Java,Developer (incl. Software Engineer);Team Lead;Product Owner,Team Lead,3-5 years,Germany,more than 500 commits,Male,PhD,24,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline,On a regular basis,To keep my promise and also to keep the code in best shape.,Definetely not,Probably yes,Probably not,Definetely yes,Definetely yes,Definetely not,Definetely not,Definetely not,I am not sure,Definetely yes,Probably not,Definetely yes,Definetely not,Probably not,Definetely yes,Probably yes,Definetely yes,Definetely not,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,Germany,200-500 commits,Male,BSc,2,Yes,New feature,On a regular basis,Deadline,On a regular basis,To ensure ongoing code health,Probably not,Definetely yes,Definetely yes,Probably yes,I am not sure,Probably not,Definetely yes,Definetely yes,I am not sure,I am not sure,Probably not,Definetely yes,Definetely yes,Probably not,Probably not,Probably not,Definetely yes,Definetely yes,Definetely not,Definetely not
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,Munich,50-100 commits,Male,BSc,1.5 years,Yes,New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline,Always,Because it is the right thing to do for many reasons and I want to get used to being a disciplined engineer. ,Definetely yes,I am not sure,I am not sure,Probably yes,Definetely yes,Probably not,Probably not,Probably not,Probably not,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,I am not sure,I am not sure,I am not sure,Definetely yes
Java,Developer (incl. Software Engineer);Product Owner,Developer (incl. Software Engineer),3-5 years,Canada,200-500 commits,Male,BSc,4,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Design tradeoff - it is evaluated and decided to be worth incurring this technical debt to finish the task earlier,On a regular basis,It's starting to get annoying,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Definetely yes,Probably yes,Probably yes,Definetely yes,Probably not
